objectid,autonomia,carretera,causa,fechahora_ini,hacia,matricula,nivel,pk_final,pk_inicial,poblacion,provincia,ref_incidencia,sentido,tipo,tipolocalizacion,version_incidencia,x,xml_fragment,xml_id,xml_matched_element,xml_parent_child_pos,xml_parent_id,y,x1,y1,actualizado
6603575,CASTILLA-LEON,N-234,TRABAJOS DE MANTENIMIENTO,2020/07/21 09:05:00,,BU,VERDE,478.5,474,HONTORIA DE LA CANTERA,BURGOS,BU007219163,AMBOS SENTIDOS,OBRAS,0,2,421895661,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>HONTORIA DE LA CANTERA</poblacion>
<fechahora_ini>2020-07-21 09:05</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-234</carretera>
<pk_inicial> 474.0</pk_inicial>
<pk_final> 478.5</pk_final>
<sentido>AMBOS SENTIDOS</sentido>
<hacia></hacia>
<ref_incidencia>BU007219163</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.1895661</x>
<y>-3.6410899</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.145,incidencia,,,-36410899,-3.6410899,42.1895661,21/07/2020 13:03:27
6603576,CASTILLA-LEON,N-120,OBRAS EN GENERAL,2020/07/21 08:21:00,,BU,VERDE,105.8,100,IBEAS DE JUARROS,BURGOS,BU007218135,CRECIENTE DE LA KILOMETRICA,OBRAS,0,2,423325622,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>IBEAS DE JUARROS</poblacion>
<fechahora_ini>2020-07-21 08:21</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-120</carretera>
<pk_inicial> 100.0</pk_inicial>
<pk_final> 105.8</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007218135</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.3325622</x>
<y>-3.5513119</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.146,incidencia,,,-35513119,-3.5513119,42.3325622,21/07/2020 13:03:27
6603577,CASTILLA-LEON,A-1,TRABAJOS DE MANTENIMIENTO,2020/07/21 08:01:00,,BU,VERDE,201,203,LERMA,BURGOS,BU007219092,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,420375086,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>LERMA</poblacion>
<fechahora_ini>2020-07-21 08:01</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>A-1</carretera>
<pk_inicial> 203.0</pk_inicial>
<pk_final> 201.0</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007219092</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.0375086</x>
<y>-3.7575102</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.147,incidencia,,,-37575102,-3.7575102,42.0375086,21/07/2020 13:03:27
6603578,CASTILLA-LEON,N-627,TRABAJOS DE MANTENIMIENTO,2020/07/21 08:24:00,,BU,VERDE,28.7,28.9,MONTORIO,BURGOS,BU007218145,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,425727116,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>MONTORIO</poblacion>
<fechahora_ini>2020-07-21 08:24</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-627</carretera>
<pk_inicial>  28.9</pk_inicial>
<pk_final>  28.7</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007218145</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.5727116</x>
<y>-3.7730165</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.148,incidencia,,,-37730165,-3.7730165,42.5727116,21/07/2020 13:03:27
6603579,CASTILLA-LEON,N-232,MANTENIMIENTO DE PUENTES,2020/07/21 08:04:00,,BU,VERDE,510.2,510.2,OÑA,BURGOS,BU007219102,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,427457518,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>MANTENIMIENTO DE PUENTES</causa>
<poblacion>OÑA</poblacion>
<fechahora_ini>2020-07-21 08:04</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-232</carretera>
<pk_inicial> 510.2</pk_inicial>
<pk_final> 510.2</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007219102</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.7457518</x>
<y>-3.4078996</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.149,incidencia,,,-34078996,-3.4078996,42.7457518,21/07/2020 13:03:27
6603580,CASTILLA-LEON,N-232,MANTENIMIENTO DE PUENTES,2020/07/21 08:04:00,,BU,VERDE,510.2,510.2,OÑA,BURGOS,BU007218110,CRECIENTE DE LA KILOMETRICA,OBRAS,0,2,427457518,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>MANTENIMIENTO DE PUENTES</causa>
<poblacion>OÑA</poblacion>
<fechahora_ini>2020-07-21 08:04</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-232</carretera>
<pk_inicial> 510.2</pk_inicial>
<pk_final> 510.2</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007218110</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.7457518</x>
<y>-3.4078996</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.150,incidencia,,,-34078996,-3.4078996,42.7457518,21/07/2020 13:03:27
6603581,CASTILLA-LEON,A-1,TRABAJOS DE MANTENIMIENTO,2020/07/21 11:11:00,,BU,VERDE,140.8,252.8,RUBENA,BURGOS,BU007219201,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,4238268,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>RUBENA</poblacion>
<fechahora_ini>2020-07-21 11:11</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>A-1</carretera>
<pk_inicial> 252.8</pk_inicial>
<pk_final> 140.8</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007219201</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.38268</x>
<y>-3.5837</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.151,incidencia,,,-35837,-3.5837,42.38268,21/07/2020 13:03:27
6603582,CASTILLA-LEON,N-232,TRABAJOS DE MANTENIMIENTO,2020/07/21 08:02:00,,BU,VERDE,523.963,512.963,TARTALES DE CILLA,BURGOS,BU007218104,AMBOS SENTIDOS,OBRAS,0,2,42762355,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>TARTALES DE CILLA</poblacion>
<fechahora_ini>2020-07-21 08:02</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-232</carretera>
<pk_inicial>512.963</pk_inicial>
<pk_final>523.963</pk_final>
<sentido>AMBOS SENTIDOS</sentido>
<hacia></hacia>
<ref_incidencia>BU007218104</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.762355</x>
<y>-3.4350599</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.152,incidencia,,,-34350599,-3.4350599,42.762355,21/07/2020 13:03:27
6603583,CASTILLA-LEON,A-231,TRABAJOS DE MANTENIMIENTO,2020/07/21 09:33:00,,BU,VERDE,156,157,VILLALBILLA DE BURGOS,BURGOS,BU007219180,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,4234826,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>VILLALBILLA DE BURGOS</poblacion>
<fechahora_ini>2020-07-21 09:33</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>A-231</carretera>
<pk_inicial> 157.0</pk_inicial>
<pk_final> 156.0</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007219180</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.34826</x>
<y>-3.79394</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.153,incidencia,,,-379394,-3.79394,42.34826,21/07/2020 13:03:27
6603584,CASTILLA-LEON,N-623,TRABAJOS DE MANTENIMIENTO,2020/07/21 08:24:00,,BU,VERDE,13.8,4.4,VILLATORO,BURGOS,BU007219132,AMBOS SENTIDOS,OBRAS,0,2,423780178,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>VILLATORO</poblacion>
<fechahora_ini>2020-07-21 08:24</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-623</carretera>
<pk_inicial>   4.4</pk_inicial>
<pk_final>  13.8</pk_final>
<sentido>AMBOS SENTIDOS</sentido>
<hacia></hacia>
<ref_incidencia>BU007219132</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.3780178</x>
<y>-3.6931775</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.154,incidencia,,,-36931775,-3.6931775,42.3780178,21/07/2020 13:03:27
6603585,CASTILLA-LEON,BU-30,OBRAS EN GENERAL,2020/07/20 15:59:00,,BU,VERDE,25,26,VILLIMAR,BURGOS,BU007208258,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,4236082,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>VILLIMAR</poblacion>
<fechahora_ini>2020-07-20 15:59</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>BU-30</carretera>
<pk_inicial>  26.0</pk_inicial>
<pk_final>  25.0</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007208258</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.36082</x>
<y>-3.63963</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.155,incidencia,,,-363963,-3.63963,42.36082,21/07/2020 13:03:27
6603586,CASTILLA-LEON,BU-30,OBRAS EN GENERAL,2020/07/20 15:59:00,,BU,VERDE,26,24.5,VILLIMAR,BURGOS,BU007209264,CRECIENTE DE LA KILOMETRICA,OBRAS,0,2,423753523,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>BURGOS</provincia>
<matricula>BU</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>VILLIMAR</poblacion>
<fechahora_ini>2020-07-20 15:59</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>BU-30</carretera>
<pk_inicial>  24.5</pk_inicial>
<pk_final>  26.0</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>BU007209264</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.3753523</x>
<y>-3.656643</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.156,incidencia,,,-3656643,-3.656643,42.3753523,21/07/2020 13:03:27
6603587,GALICIA,AC-445,TRABAJOS DE MANTENIMIENTO,2020/07/21 08:03:00,,C,VERDE,4.5,5,AMARELA,A CORUÑA,OC007218106,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,429378305,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>GALICIA</autonomia>
<provincia>A CORUÑA</provincia>
<matricula>C</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>AMARELA</poblacion>
<fechahora_ini>2020-07-21 08:03</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>AC-445</carretera>
<pk_inicial>   5.0</pk_inicial>
<pk_final>   4.5</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>OC007218106</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.9378305</x>
<y>-9.2130553</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.157,incidencia,,,-92130553,-9.2130553,42.9378305,21/07/2020 13:03:27
